# submitted_id	current_id	converted_id	current_symbol
Smn[PL00733]	FBal0220800	FBgn0036641	Smn
Fen1[GD4203]	FBal0207022	FBgn0025832	Fen1
Dsub\l(1)41k[1]	FBal0053073	FBgn0018082	Dsub\l(1)41k
esc[2a]	FBal0003821	FBgn0000588	esc
trol[22]	FBal0017067	FBgn0267911	trol
trol[16]	FBal0017061	FBgn0267911	trol
nero[s1921]	FBal0011139	FBgn0261479	nero
l(2)SH0388[SH0388]	FBal0144046	FBgn0065809	l(2)SH0388
fliC[1]	FBal0004024	FBgn0000669	fliC
us[1]	FBal0017643	FBgn0003962	us
sina[3]	FBal0015667	FBgn0003410	sina
Hr38[56]	FBal0091744	FBgn0014859	Hr38
CSN5[ex27]	FBal0145145	FBgn0027053	CSN5
Cdk1[E1-23]	FBal0001573	FBgn0004106	Cdk1
CG5707[d04545]	FBal0161250	FBgn0026593	CG5707
pn[36]	FBal0013885	FBgn0003116	pn
l(2)39ADc[K490]	FBal0049773	FBgn0016865	l(2)39ADc
CG1890[c02022]	FBal0161965	FBgn0039869	CG1890
kis[05148]	FBal0043466	FBgn0266557	kis
Src42A[26-1]	FBal0190441	FBgn0264959	Src42A
l(1)16Fq[22051]	FBal0095326	FBgn0026224	l(1)16Fq
Dbus\So[1]	FBal0054901	FBgn0019390	Dbus\So
BG01563[BG01563]	FBal0195605	FBgn0086385	BG01563
tyn[PG38]	FBal0157146	FBgn0029128	tyn
rtv[6]	FBal0014823	FBgn0261277	rtv
pic[9]	FBal0013802	FBgn0260962	pic
lkb1[4A4-2]	unknown ID	-	-
Taf1[5]	FBal0001582	FBgn0010355	Taf1
l(3)89Ci[M238]	FBal0093936	FBgn0025767	l(3)89Ci
l(3)L3130[L3130]	FBal0087002	FBgn0024545	l(3)L3130
l(2)57Bd[2]	FBal0009122	FBgn0002094	l(2)57Bd
CG14007[f07713]	FBal0162315	FBgn0031731	CG14007
bs[364]	FBal0123938	FBgn0004101	bs
CG31694[EY11632]	FBal0161755	FBgn0051694	CG31694
l(3)72Dp[3]	FBal0009983	FBgn0263607	l(3)72Dp
SelG[dsRNA.cMa]	FBal0197428	FBgn0030350	SelG
Cyp6t1[d10312]	FBal0160651	FBgn0031182	Cyp6t1
l(3)j1E6[j1E6]	FBal0086979	FBgn0024522	l(3)j1E6
Dhyd\Dl[59]	FBal0054635	FBgn0019199	Dhyd\Dl
Pp1alpha-96A[GS11179]	FBal0212814	FBgn0003134	Pp1alpha-96A
Mad[1-1]	FBal0052186	FBgn0011648	Mad
CG3800[EY09816]	FBal0161456	FBgn0034802	CG3800
l(1)carot5[1]	FBal0007439	FBgn0001588	l(1)carot5
pll[3]	FBal0013857	FBgn0010441	pll
mst[M229]	FBal0088785	FBgn0020272	mst
fs(1)M41[1]	FBal0004401	FBgn0000852	fs(1)M41
dib[e01927]	FBal0159326	FBgn0000449	dib
Asx[III]	FBal0089832	FBgn0261823	Asx
shg[R64a]	FBal0050501	FBgn0003391	shg
emc[C10]	FBal0045586	FBgn0000575	emc
L[4]	FBal0005884	FBgn0267825	L
spi[SC2]	FBal0056121	FBgn0005672	spi
Pdcd4[G93]	FBal0148343	FBgn0030520	Pdcd4
N[Ax-1]	FBal0012850	FBgn0004647	N
Dbus\Pm[1]	FBal0054905	FBgn0019393	Dbus\Pm
LanA[6-36]	FBal0029900	FBgn0002526	LanA
fs(2)A2[7-1096]	FBal0091461	FBgn0000932	fs(2)A2
disco[1]	FBal0002448	FBgn0000459	disco
Tre1[Delta25]	FBal0269022	FBgn0046687	Tre1
Sxl[f5]	FBal0016683	FBgn0264270	Sxl
EcR[B1.hs]	FBal0083499	FBgn0000546	EcR
PhKgamma[EY05998]	FBal0160026	FBgn0011754	PhKgamma
l(3)93Dm[E26]	FBal0093909	FBgn0025750	l(3)93Dm
Prosbeta2[1]	FBal0010845	FBgn0023174	Prosbeta2
Rab14[EY04032]	FBal0159949	FBgn0015791	Rab14
jub[e03614]	FBal0162620	FBgn0030530	jub
Aats-asn[2]	FBal0008669	FBgn0086443	Aats-asn
l(2)cl-R11[1]	FBal0104506	FBgn0041119	l(2)cl-R11
l(3)S057806[S057806]	FBal0129768	FBgn0060797	l(3)S057806
Npc1b[1]	FBal0241344	FBgn0261675	Npc1b
