# submitted_id	current_id	converted_id	current_symbol
l(3)S041506[S041506]	FBal0129904	FBgn0060933	l(3)S041506
hppy[EP-704]	FBal0216196	FBgn0263395	hppy
Fs(3)Ber[1]	FBal0004736	FBgn0001030	Fs(3)Ber
BG01707[BG01707]	FBal0195637	FBgn0086405	BG01707
gcm[DeltaP6]	FBal0045757	FBgn0014179	gcm
p53[EY14108]	FBal0158844	FBgn0039044	p53
l(2)k00609[k00609]	FBal0064625	FBgn0022266	l(2)k00609
CG7747[f02221]	FBal0160996	FBgn0034109	CG7747
Aats-asn[11]	FBal0008678	FBgn0086443	Aats-asn
didum[219]	FBal0154504	FBgn0261397	didum
stg[01235]	FBal0016187	FBgn0003525	stg
CG34401[PL29#1]	FBal0131403	FBgn0085430	CG34401
Dl[BX43]	FBal0002519	FBgn0000463	Dl
eff[mer4]	FBal0130384	FBgn0011217	eff
Ca-P60A[AH7]	unknown ID	-	-
14-3-3epsilon[S-1259]	FBal0048993	FBgn0020238	14-3-3epsilon
CG14990[f07267]	FBal0162207	FBgn0035496	CG14990
l(1)7Ab[21]	FBal0007192	FBgn0001432	l(1)7Ab
sr[R947]	FBal0032788	FBgn0003499	sr
l(1)N1[1]	FBal0049749	FBgn0016841	l(1)N1
raw[k08801]	FBal0064696	FBgn0003209	raw
hay[nc2rv2]	FBal0005386	FBgn0001179	hay
Pvf3[f04842]	FBal0182070	FBgn0085407	Pvf3
l(1)291-44[1]	FBal0006603	FBgn0011174	l(1)291-44
eIF-4a[PN-1]	FBal0052435	FBgn0001942	eIF-4a
Ras85D[e2F]	FBal0030102	FBgn0003205	Ras85D
dome[G0441]	FBal0100259	FBgn0043903	dome
tak[V27]	FBal0093775	FBgn0020777	tak
Skp2[ex9]	FBal0265629	FBgn0037236	Skp2
sine[1]	FBal0088648	FBgn0024599	sine
E(z)[53]	FBal0003432	FBgn0000629	E(z)
l(3)rF149[rF149]	FBal0060351	FBgn0020282	l(3)rF149
l(3)S071615[S071615]	FBal0129672	FBgn0060702	l(3)S071615
tor[rv54]	FBal0016976	FBgn0003733	tor
l(2)49Fh[1]	FBal0009077	FBgn0002079	l(2)49Fh
E(rst)I2[I2]	FBal0122220	FBgn0044074	E(rst)I2
wg[l-7]	FBal0018499	FBgn0004009	wg
l(1)YE17[1]	FBal0007938	FBgn0001880	l(1)YE17
S(CycE[JP])68S10[68S10]	FBal0175968	FBgn0082617	S(CycE[JP])68S10
Rop[A27]	FBal0097169	FBgn0004574	Rop
cact[17]	FBal0001523	FBgn0000250	cact
E(z)[57]	FBal0003436	FBgn0000629	E(z)
Sas10[GD11249]	FBal0208478	FBgn0029755	Sas10
l(3)84Fb[3]	FBal0010170	FBgn0004214	l(3)84Fb
msl-2[Z2397]	FBal0154937	FBgn0005616	msl-2
Mat89Ba[GD7637]	FBal0199929	FBgn0261286	Mat89Ba
spoon[P1]	FBal0216917	FBgn0263987	spoon
dpp[H94]	FBal0031058	FBgn0000490	dpp
cpo[rN250]	FBal0042943	FBgn0263995	cpo
rho[PDelta38]	FBal0033086	FBgn0004635	rho
kz[37]	FBal0005880	FBgn0001330	kz
tsl[R25]	FBal0035851	FBgn0003867	tsl
hb[1]	FBal0005392	FBgn0001180	hb
oaf[8.18]	FBal0046205	FBgn0011818	oaf
jaft[789]	FBal0179371	FBgn0083086	jaft
Dhyd\N[1]	FBal0054616	FBgn0019185	Dhyd\N
Catsup[23]	FBal0008641	FBgn0002022	Catsup
eas[PL103]	FBal0130390	FBgn0000536	eas
Gpdh[nR2]	FBal0005164	FBgn0001128	Gpdh
Alh[PL00448]	FBal0162812	FBgn0261238	Alh
CG10932[f04498]	FBal0162635	FBgn0029969	CG10932
egh[M15]	FBal0089320	FBgn0001404	egh
l(1)G0344[G0344]	FBal0103744	FBgn0040173	l(1)G0344
mod[S095214]	FBal0118087	FBgn0002780	mod
Cul3[gft4]	FBal0008513	FBgn0261268	Cul3
ogre[f07788]	FBal0158869	FBgn0004646	ogre
Ets21C[f03639]	FBal0160491	FBgn0005660	Ets21C
EK3-3[unspecified]	FBal0120932	FBgn0043588	EK3-3
C5[C5]	FBal0101786	FBgn0028839	C5
rdx[3]	FBal0194656	FBgn0264493	rdx
l(2)Sp10[1]	FBal0009345	FBgn0002168	l(2)Sp10
Moe[G0067]	FBal0096835	FBgn0011661	Moe
Galphao[k07810]	FBal0098388	FBgn0001122	Galphao
fu[14]	FBal0004847	FBgn0001079	fu
gcm[Pyx]	FBal0137244	FBgn0014179	gcm
spi[07132]	FBal0043359	FBgn0005672	spi
crn[yok-EH328]	FBal0030962	FBgn0000377	crn
CG9987[f05494]	FBal0160742	FBgn0032781	CG9987
Su(var)327[unspecified]	FBal0051880	FBgn0003633	Su(var)327
trol[M22]	FBal0088569	FBgn0267911	trol
Su(w[ch])[1]	FBal0016596	FBgn0003639	Su(w[ch])
l(2)SH1701[SH1701]	FBal0143608	FBgn0065371	l(2)SH1701
PCNA[k10504]	FBal0064760	FBgn0005655	PCNA
nclb[2]	FBal0263562	FBgn0263510	nclb
l(2)43Eh[1]	FBal0035064	FBgn0004139	l(2)43Eh
muskelin[f04338]	FBal0158908	FBgn0033757	muskelin
l(3)84Ef[2]	FBal0010153	FBgn0004208	l(3)84Ef
Chc[AA1]	FBal0197293	FBgn0000319	Chc
l(3)73Ac[2]	FBal0010009	FBgn0002278	l(3)73Ac
l(2)DA2[G58]	FBal0130153	FBgn0014253	l(2)DA2
EcR[B2.hs]	FBal0083498	FBgn0000546	EcR
Atg7[EY10058]	FBal0176390	FBgn0034366	Atg7
l(2)SH2022[SH2022]	FBal0143522	FBgn0065285	l(2)SH2022
l(3)86Fa[6]	FBal0010294	FBgn0002322	l(3)86Fa
ttk[S144802c]	FBal0082108	FBgn0003870	ttk
Fer2LCH[04244]	FBal0043614	FBgn0015221	Fer2LCH
l(2)KC-A[EMS93]	FBal0098044	FBgn0027165	l(2)KC-A
Syn[97]	FBal0155774	FBgn0004575	Syn
dnt[42.3]	FBal0267697	FBgn0024245	dnt
l(2)SH0436[SH0436]	FBal0144022	FBgn0065785	l(2)SH0436
l(1)7Aa[44]	FBal0007164	FBgn0001431	l(1)7Aa
CG12877[f01800]	FBal0162456	FBgn0039544	CG12877
twin[CA06641]	FBal0211823	FBgn0011725	twin
hum[4]	FBal0034802	FBgn0004126	hum
PI4KIIIalpha[56]	FBal0006919	FBgn0267350	PI4KIIIalpha
egh[13]	FBal0006843	FBgn0001404	egh
mei-41[A22]	FBal0151733	FBgn0004367	mei-41
Lam[A25]	FBal0182967	FBgn0002525	Lam
Ace[3]	FBal0000184	FBgn0000024	Ace
RpII215[106]	FBal0014763	FBgn0003277	RpII215
neur[2]	FBal0012941	FBgn0002932	neur
en[34]	FBal0003749	FBgn0000577	en
CG30090[f06357]	FBal0161880	FBgn0050090	CG30090
bob[43-21]	FBal0152095	FBgn0011208	bob
Su(hh)III[III]	FBal0120606	FBgn0043564	Su(hh)III
dve[01493]	FBal0043397	FBgn0020307	dve
nej[GD8975]	FBal0201278	FBgn0261617	nej
Plap[d09025]	FBal0160005	FBgn0024314	Plap
shot[HG25]	FBal0095203	FBgn0013733	shot
l(1)carot10[1]	FBal0007429	FBgn0001593	l(1)carot10
dsh[B]	FBal0291290	FBgn0000499	dsh
TBPH[G2]	FBal0277269	FBgn0025790	TBPH
Npc1b[LB2]	FBal0006296	FBgn0261675	Npc1b
Btk29A[k00206]	FBal0045122	FBgn0003502	Btk29A
Sc[2]	unknown ID	-	-
CAP[CA06924]	FBal0211613	FBgn0033504	CAP
eyg[54A3]	FBal0179921	FBgn0000625	eyg
su(s)[10]	unknown ID	-	-
l(3)07615[07615]	FBal0009601	FBgn0010923	l(3)07615
twi[unspecified]	FBal0086274	FBgn0003900	twi
os[d4-2]	unknown ID	-	-
l(1)em4[em10]	FBal0117474	FBgn0041745	l(1)em4
svp[sd-27]	FBal0151391	FBgn0003651	svp
l(3)SH094[SH094]	FBal0143375	FBgn0065143	l(3)SH094
l(3)89Bm[M268]	FBal0093947	FBgn0016024	l(3)89Bm
mol[35Bb-5]	FBal0008465	FBgn0086711	mol
l(3)72Fc[53]	FBal0092888	FBgn0025504	l(3)72Fc
fbl[1]	FBal0028192	FBgn0011205	fbl
lar[6B]	unknown ID	-	-
l(3)S019203[S123213]	FBal0100163	FBgn0028200	l(3)S019203
l(2)R[1]	FBal0009291	FBgn0005175	l(2)R
Su(rst)B16[B16]	FBal0121937	FBgn0044010	Su(rst)B16
tgo[1]	FBal0082188	FBgn0264075	tgo
thr[RD.T:Hsap\MYC]	FBal0140910	FBgn0003701	thr
v[Ee43]	FBal0059761	FBgn0003965	v
ara[1]	FBal0049304	FBgn0015904	ara
bs[ex53]	FBal0049003	FBgn0004101	bs
akirin[EP906]	FBal0131363	FBgn0082598	akirin
l(1)G0366[G0366]	FBal0103739	FBgn0040168	l(1)G0366
Bap60[1]	FBal0248828	FBgn0025463	Bap60
CG31676[f05642]	FBal0161759	FBgn0051676	CG31676
ct[MRlL2]	FBal0002066	FBgn0004198	ct
kon[GD14368]	FBal0210322	FBgn0032683	kon
kis[05841]	FBal0043467	FBgn0266557	kis
lola[c46]	FBal0102517	FBgn0005630	lola
betaTub60D[3]	FBal0000022	FBgn0003888	betaTub60D
Tollo[59]	FBal0267038	FBgn0029114	Tollo
dj-1beta[ex54]	FBal0195124	FBgn0039802	dj-1beta
l(3)62Bi[1]	FBal0009654	FBgn0002185	l(3)62Bi
l(1)2BCa[5-114]	FBal0043223	FBgn0015429	l(1)2BCa
cype[03771]	FBal0008039	FBgn0015031	cype
fs(1)M82[1]	FBal0004439	FBgn0000884	fs(1)M82
E(br)444[Ebr444]	FBal0156617	FBgn0069445	E(br)444
frc[j2E3]	FBal0010927	FBgn0042641	frc
l(2)46DEc[299]	FBal0045997	FBgn0015965	l(2)46DEc
l(3)93Fa[1]	FBal0010758	FBgn0002394	l(3)93Fa
l(1)55[1]	FBal0007057	FBgn0001572	l(1)55
l(1)10Bc[4]	FBal0006007	FBgn0001492	l(1)10Bc
MAN1[KG06361]	FBal0137608	FBgn0034962	MAN1
2L3910[2L3910]	FBal0218415	FBgn0260086	2L3910
l(3)67BDd[1]	FBal0009750	FBgn0002206	l(3)67BDd
cv-c[06951]	FBal0009587	FBgn0086901	cv-c
S[eAL11]	FBal0058286	FBgn0003310	S
hay[nc2rv6]	FBal0005390	FBgn0001179	hay
l(2)k05816[k05816]	FBal0064462	FBgn0022154	l(2)k05816
ct[268-6]	FBal0028109	FBgn0004198	ct
We[1]	unknown ID	-	-
vn[rF264]	FBal0011097	FBgn0003984	vn
S[eW4]	FBal0058275	FBgn0003310	S
Hip14[Z4772]	FBal0284499	FBgn0259824	Hip14
eas[EY01463]	FBal0159277	FBgn0000536	eas
mam[40-rv5]	FBal0032103	FBgn0002643	mam
dwg[11]	FBal0003233	FBgn0000520	dwg
l(1)Mc56[1]	FBal0007677	FBgn0001808	l(1)Mc56
pros[V60]	FBal0125176	FBgn0004595	pros
Dana\Dl[2]	FBal0038256	FBgn0014481	Dana\Dl
smid[e17]	FBal0088630	FBgn0016983	smid
simj[EY06297]	FBal0158672	FBgn0010762	simj
ph-d[400]	FBal0013750	FBgn0004860	ph-d
l(3)63Fa[D9]	FBal0049811	FBgn0016007	l(3)63Fa
l(3)S114602[S114602]	FBal0129426	FBgn0060464	l(3)S114602
gro[Eal13]	FBal0193243	FBgn0001139	gro
l(3)72Fb[331]	FBal0092889	FBgn0025505	l(3)72Fb
Ptpmeg[EY12179]	FBal0159962	FBgn0261985	Ptpmeg
Upf3[1]	FBal0265816	FBgn0034923	Upf3
mnd[1]	FBal0012366	FBgn0002778	mnd
l(2)SH0384[SH0384]	FBal0144048	FBgn0065811	l(2)SH0384
Sec6[175]	FBal0195147	FBgn0266671	Sec6
Dfd::Ubx[S3.hs]	FBal0065279	FBgn0012300	Dfd::Ubx
Sry-delta[SF1]	FBal0016088	FBgn0003512	Sry-delta
dpp[s31]	FBal0031076	FBgn0000490	dpp
l(3)H67[J2]	FBal0264985	FBgn0263893	l(3)H67
para[Ocd-4]	FBal0221094	FBgn0264255	para
Eip93F[5]	FBal0267796	FBgn0264490	Eip93F
en[28]	FBal0003743	FBgn0000577	en
Ero1L[F27]	FBal0035114	FBgn0261274	Ero1L
sls[B170]	FBal0118446	FBgn0086906	sls
Gmd[1]	FBal0183409	FBgn0031661	Gmd
exu[3]	FBal0003917	FBgn0000615	exu
l(3)87Bh[1]	FBal0010387	FBgn0002339	l(3)87Bh
l(2)10610[10610]	FBal0022902	FBgn0011622	l(2)10610
CycE[05278]	FBal0033576	FBgn0010382	CycE
Rala[G0373]	FBal0100300	FBgn0015286	Rala
PCNA[02448]	FBal0007999	FBgn0005655	PCNA
l(1)10Db[1]	FBal0006081	FBgn0001504	l(1)10Db
ct[B60.6]	FBal0028058	FBgn0004198	ct
shakB[4]	FBal0015577	FBgn0085387	shakB
CG31871[f02763]	FBal0161734	FBgn0051871	CG31871
nsl1[c04892]	FBal0185574	FBgn0262527	nsl1
dys[9]	unknown ID	-	-
l(3)S089814b[S089814b]	FBal0129585	FBgn0060615	l(3)S089814b
Cka[4]	FBal0184329	FBgn0044323	Cka
H[4]	FBal0005295	FBgn0001169	H
gt[X11]	FBal0005253	FBgn0001150	gt
bwa[e02081]	FBal0159429	FBgn0045064	bwa
mbl[chst-exS5]	FBal0241496	FBgn0265487	mbl
lac[13]	unknown ID	-	-
Acn[2]	FBal0008597	FBgn0263198	Acn
pt[2]	FBal0013988	FBgn0003156	pt
l(3)KX305[3]	FBal0032004	FBgn0002435	l(3)KX305
sti[KG01697]	FBal0131723	FBgn0002466	sti
DJ-1alpha[Delta52]	FBal0191567	FBgn0033885	DJ-1alpha
Su(z)2[4]	FBal0028572	FBgn0265623	Su(z)2
l(2)SH0431[SH0431]	FBal0144026	FBgn0065789	l(2)SH0431
mei-41[11-98]	FBal0035210	FBgn0004367	mei-41
ens[f07121]	FBal0162204	FBgn0264693	ens
Hr78[3]	FBal0090633	FBgn0015239	Hr78
l(3)CC00864[CC00864]	FBal0211831	FBgn0243499	l(3)CC00864
wts[E11]	FBal0044474	FBgn0011739	wts
Smr[G0060]	FBal0239025	FBgn0265523	Smr
l(3)S003606[S003606]	FBal0100212	FBgn0028233	l(3)S003606
ash1[11]	FBal0000741	FBgn0005386	ash1
pros[V13]	FBal0125211	FBgn0004595	pros
CG4970[EY05822]	FBal0176342	FBgn0032364	CG4970
Atpalpha[2206]	FBal0048020	FBgn0002921	Atpalpha
Klp61F[06345]	FBal0043695	FBgn0004378	Klp61F
Trxr-1[GD9738]	FBal0208855	FBgn0020653	Trxr-1
Int6[173-1]	FBal0244401	FBgn0025582	Int6
l(3)67Aa[1]	FBal0009703	FBgn0002197	l(3)67Aa
Dl[Cf-3]	FBal0002545	FBgn0000463	Dl
l(1)G0141[G0141]	FBal0102653	FBgn0029075	l(1)G0141
Dr[Delta60]	FBal0063865	FBgn0000492	Dr
Sec24CD[1]	FBal0005037	FBgn0262126	Sec24CD
l(2)k00705[k05105]	FBal0064617	FBgn0022261	l(2)k00705
RfC4[GD4598]	FBal0208266	FBgn0260985	RfC4
l(3)ry127[1]	FBal0035151	FBgn0014318	l(3)ry127
l(1)air7[27]	FBal0007221	FBgn0001433	l(1)air7
v[EO-22]	FBal0092462	FBgn0003965	v
h[38]	FBal0005355	FBgn0001168	h
l(1)1EFb[3]	FBal0006523	FBgn0001353	l(1)1EFb
CG42820[MB08402]	FBal0218818	FBgn0262002	CG42820
Psc[h27]	FBal0045018	FBgn0005624	Psc
Cat[n4]	FBal0001551	FBgn0000261	Cat
CG6024[PL00510]	FBal0161202	FBgn0036202	CG6024
CG2316[39C-34]	FBal0248815	FBgn0039890	CG2316
Ciao1[GD7831]	FBal0206579	FBgn0033972	Ciao1
mys[b5]	FBal0178719	FBgn0004657	mys
Fs(3)Pud[1]	FBal0004776	FBgn0001063	Fs(3)Pud
cert[1]	FBal0243523	FBgn0027569	cert
l(2)24EFd[1]	FBal0008262	FBgn0005506	l(2)24EFd
dlt[N1]	FBal0180182	FBgn0024510	dlt
Karybeta3[C505]	FBal0092870	FBgn0087013	Karybeta3
sw[M108]	FBal0088589	FBgn0003654	sw
sls[g65]	FBal0119141	FBgn0086906	sls
l(3)S058209b[S058209b]	FBal0100066	FBgn0028124	l(3)S058209b
en[2]	FBal0003717	FBgn0000577	en
y[R22]	FBal0018718	FBgn0004034	y
Dana\Om(2D)[63R14]	FBal0066196	FBgn0010400	Dana\Om(2D)
LanB2[e75B4]	FBal0009741	FBgn0267348	LanB2
Tsp74F[1]	FBal0283692	FBgn0036769	Tsp74F
l(2)K225[1]	FBal0009264	FBgn0002136	l(2)K225
Spn77Bc[e01796]	FBal0161171	FBgn0036970	Spn77Bc
l(2)56Da[GMroX1]	FBal0100255	FBgn0028263	l(2)56Da
betaggt-I[GD10976]	FBal0213269	FBgn0015000	betaggt-I
Debcl[EY05743]	FBal0159332	FBgn0029131	Debcl
CG2889[EY06004]	FBal0161900	FBgn0030206	CG2889
Su(rst)B188[B188]	FBal0121935	FBgn0044008	Su(rst)B188
tbr[1]	FBal0016734	FBgn0003671	tbr
l(1)7Ee[3]	FBal0007320	FBgn0001464	l(1)7Ee
E(spl)m8-HLH[r26]	FBal0003347	FBgn0000591	E(spl)m8-HLH
gt[l8]	FBal0005245	FBgn0001150	gt
l(3)67Ad[1]	FBal0009713	FBgn0002200	l(3)67Ad
N[G0496]	FBal0152361	FBgn0004647	N
Arp3[1066PC]	FBal0269075	FBgn0262716	Arp3
l(3)S000107[S066121]	FBal0100229	FBgn0028246	l(3)S000107
Ptp61F[4-10]	FBal0299003	FBgn0267487	Ptp61F
l(2)PC4-P[42]	FBal0046039	FBgn0015986	l(2)PC4-P
cact[2R-111-28]	FBal0155521	FBgn0000250	cact
zfh1[10]	FBal0033220	FBgn0004606	zfh1
hb[e21]	FBal0005426	FBgn0001180	hb
l(3)64Ae[C5]	FBal0096767	FBgn0014286	l(3)64Ae
CG32444[f00963]	FBal0161641	FBgn0043783	CG32444
l(1)adl9[1]	FBal0007407	FBgn0005420	l(1)adl9
l(3)89Ea[4]	FBal0010609	FBgn0005557	l(3)89Ea
CG15096[e00079]	FBal0162195	FBgn0034394	CG15096
Rm62[rG338]	FBal0011100	FBgn0003261	Rm62
S[eO7]	FBal0058278	FBgn0003310	S
l(3)S027714[S027714]	FBal0095301	FBgn0026213	l(3)S027714
ct[14-95-1D]	FBal0042958	FBgn0004198	ct
l(1)ESHS50[3]	FBal0007580	FBgn0001729	l(1)ESHS50
Mt2[r2]	FBal0196949	FBgn0028707	Mt2
l(2)60Ae[vis22]	FBal0035078	FBgn0014252	l(2)60Ae
Rabex-5[ex40]	FBal0246623	FBgn0262937	Rabex-5
cleo[1]	FBal0045445	FBgn0015921	cleo
ft[3]	FBal0004789	FBgn0001075	ft
l(2)24EFf[1]	FBal0008264	FBgn0005508	l(2)24EFf
Top3alpha[54]	FBal0277291	FBgn0040268	Top3alpha
l(3)S090302[S090302]	FBal0099992	FBgn0028070	l(3)S090302
l(2)SH0147[SH0147]	FBal0144162	FBgn0065925	l(2)SH0147
mnd[8]	FBal0012373	FBgn0002778	mnd
bel[CC00869]	FBal0211763	FBgn0263231	bel
l(2)SH1328[SH1328]	FBal0143709	FBgn0065472	l(2)SH1328
kis[S]	FBal0005692	FBgn0266557	kis
l(1)10Bs[HM22]	FBal0051467	FBgn0017394	l(1)10Bs
fs(1)M13[2]	FBal0004339	FBgn0000831	fs(1)M13
pros[V59]	FBal0125178	FBgn0004595	pros
l(1)G0020[G0020]	FBal0098223	FBgn0027330	l(1)G0020
Egfr[f6]	FBal0003534	FBgn0003731	Egfr
E(rst)C329[C329]	FBal0122258	FBgn0044111	E(rst)C329
Scar[1]	unknown ID	-	-
trx[A7]	FBal0032906	FBgn0003862	trx
l(2)I46[M237]	FBal0130145	FBgn0061153	l(2)I46
l(3)95Eb[3627]	FBal0150367	FBgn0067350	l(3)95Eb
mal[24]	FBal0011985	FBgn0002641	mal
Npc1b[151]	FBal0006272	FBgn0261675	Npc1b
Sap47[156]	FBal0241763	FBgn0013334	Sap47
Ars2[c00735]	FBal0184938	FBgn0033062	Ars2
Trf2[G0425]	FBal0103734	FBgn0261793	Trf2
fs(2)A2[6-797]	FBal0091462	FBgn0000932	fs(2)A2
l(2)1323[1]	FBal0008161	FBgn0002110	l(2)1323
Efa6[c00953]	FBal0161813	FBgn0051158	Efa6
l(3)psg2[2300]	FBal0246383	FBgn0035617	l(3)psg2
stout[15]	FBal0007115	FBgn0001428	stout
2L1809[2L1809]	FBal0219195	FBgn0260607	2L1809
l(4)102ABf[4]	FBal0011386	FBgn0004534	l(4)102ABf
l(1)M52[1]	FBal0007640	FBgn0001774	l(1)M52
Ca-P60A[AT1]	unknown ID	-	-
ush[SW42]	FBal0082104	FBgn0003963	ush
Cdk1[D57]	FBal0001572	FBgn0004106	Cdk1
squ[HK35]	FBal0016067	FBgn0267347	squ
vtd[80Fh-1]	FBal0010081	FBgn0260987	vtd
l(2)SH0359[SH0359]	FBal0144063	FBgn0065826	l(2)SH0359
mRpL12[10534]	FBal0028301	FBgn0011787	mRpL12
l(3)SH052[SH052]	FBal0143387	FBgn0065155	l(3)SH052
stmA[PEL4]	FBal0138124	FBgn0086784	stmA
CSN5[null]	FBal0141864	FBgn0027053	CSN5
brv1[L563STOP]	FBal0262481	FBgn0036874	brv1
srp[149]	FBal0093779	FBgn0003507	srp
hbn[4028]	FBal0189982	FBgn0008636	hbn
mts[EY12638]	FBal0158915	FBgn0004177	mts
Ube3a[6J]	FBal0244596	FBgn0061469	Ube3a
l(3)93Di[1]	FBal0010749	FBgn0002392	l(3)93Di
ebi[CC3]	FBal0119260	FBgn0263933	ebi
l(2)PC4-R[459]	FBal0046043	FBgn0015988	l(2)PC4-R
Snap25[164]	FBal0141400	FBgn0011288	Snap25
e(r)[53-4]	FBal0217541	FBgn0011586	e(r)
Antp::Scr[ASHC.hs]	FBal0033442	FBgn0012038	Antp::Scr
RecQ4[19]	FBal0193424	FBgn0040290	RecQ4
CG10560[f00512]	FBal0162680	FBgn0039325	CG10560
Xbp1[CB02061]	FBal0211959	FBgn0021872	Xbp1
mys[b39]	FBal0178742	FBgn0004657	mys
Mod(var)1539[1539]	FBal0135928	FBgn0062595	Mod(var)1539
ple[J83]	FBal0044275	FBgn0005626	ple
lama[615]	FBal0060024	FBgn0016031	lama
dally[f01984]	FBal0159336	FBgn0263930	dally
ssx[d05625]	FBal0161833	FBgn0024987	ssx
opa[2]	FBal0013266	FBgn0003002	opa
txl[Ab2]	unknown ID	-	-
N[66l2]	FBal0044957	FBgn0004647	N
Gclm[EY13184]	FBal0160432	FBgn0046114	Gclm
l(2)57Cd[2]	FBal0009140	FBgn0002098	l(2)57Cd
CG14635[c05722]	FBal0162244	FBgn0029535	CG14635
Asx[I]	FBal0089834	FBgn0261823	Asx
l(2)SH0649[SH0649]	FBal0143925	FBgn0065688	l(2)SH0649
Csas[MB04236]	FBal0198269	FBgn0052220	Csas
ZnT35C[mut2]	FBal0216894	FBgn0028516	ZnT35C
shy[RU]	FBal0015645	FBgn0003403	shy
loco[T1]	FBal0096751	FBgn0020278	loco
sgg[17]	FBal0015495	FBgn0003371	sgg
Pxn[f07229]	FBal0159953	FBgn0011828	Pxn
mxc[22a-6]	FBal0061017	FBgn0260789	mxc
Argk[PL00418]	FBal0162796	FBgn0000116	Argk
akirin[5]	FBal0267513	FBgn0082598	akirin
Fpps[k03514]	FBal0118033	FBgn0025373	Fpps
Atal[S13]	FBal0281707	FBgn0265516	Atal
l(3)S001925[S001925]	FBal0100221	FBgn0028239	l(3)S001925
N[XL86]	FBal0012789	FBgn0004647	N
l(1)ts445a[1]	FBal0007855	FBgn0001831	l(1)ts445a
CG17646[10]	FBal0215542	FBgn0264494	CG17646
cype[1R2.5]	FBal0126413	FBgn0015031	cype
l(3)87Ae[2]	FBal0010343	FBgn0002332	l(3)87Ae
tor[rv12]	FBal0016934	FBgn0003733	tor
scra[1]	FBal0015332	FBgn0261385	scra
klar[EY13871]	FBal0159116	FBgn0001316	klar
hep[r39]	FBal0045849	FBgn0010303	hep
ovo[D1rv18]	FBal0013395	FBgn0003028	ovo
ct[db6]	FBal0001959	FBgn0004198	ct
spz[1]	FBal0016059	FBgn0003495	spz
Nmdmc[CB02647]	FBal0211713	FBgn0010222	Nmdmc
l(3)a[1]	FBal0010801	FBgn0002412	l(3)a
l(3)S027302b[S027302b]	FBal0100122	FBgn0028172	l(3)S027302b
l(1)Q8[1]	FBal0007795	FBgn0011055	l(1)Q8
nos[b.n.1-16]	FBal0056399	FBgn0002962	nos
l(3)04220[j11E7]	FBal0010885	FBgn0010836	l(3)04220
shg[1]	FBal0015608	FBgn0003391	shg
dpp[d29]	FBal0003024	FBgn0000490	dpp
l(2)Su(Sp)[1]	FBal0031802	FBgn0013547	l(2)Su(Sp)
l(1)3Ag[4]	FBal0006863	FBgn0001405	l(1)3Ag
CG14506[c03887]	FBal0162253	FBgn0039659	CG14506
fcl[1]	FBal0003993	FBgn0000643	fcl
l(2)SH0882[SH0882]	FBal0143834	FBgn0065597	l(2)SH0882
Pu[rI9]	FBal0030083	FBgn0003162	Pu
S[k14005]	FBal0042738	FBgn0003310	S
Mocs1[16]	FBal0011754	FBgn0263241	Mocs1
Clect27[c02010]	FBal0161638	FBgn0031629	Clect27
l(3)05967[06318]	FBal0043681	FBgn0010881	l(3)05967
Ogg1[f08013]	FBal0159995	FBgn0027864	Ogg1
l(2)k07822[k07822]	FBal0089091	FBgn0024656	l(2)k07822
Opa1[f03594]	FBal0184799	FBgn0261276	Opa1
l(3)69Ad[1]	FBal0009887	FBgn0002265	l(3)69Ad
fs(2)al[1]	FBal0062837	FBgn0020854	fs(2)al
l(1)M60[1]	FBal0007645	FBgn0001778	l(1)M60
par-6[29VV]	FBal0264146	FBgn0026192	par-6
fs(1)Yb[1]	FBal0004496	FBgn0000928	fs(1)Yb
eIF-4a[k05206]	FBal0042534	FBgn0001942	eIF-4a
Blm[N1]	FBal0218249	FBgn0002906	Blm
CG34325[f05802]	FBal0161991	FBgn0085354	CG34325
JhI-1[GD10927]	FBal0207405	FBgn0028426	JhI-1
AMPKalpha[D39]	FBal0193417	FBgn0023169	AMPKalpha
temp[E]	FBal0295881	FBgn0027296	temp
AGO1[T908M]	FBal0269736	FBgn0262739	AGO1
E(Sev-CycE)E19[E19]	FBal0117819	FBgn0041842	E(Sev-CycE)E19
Cp110[S.Ubi-p63E.T:Avic\GFP-m6]	FBal0294120	FBgn0031191	Cp110
gfzf[GD10273]	FBal0209635	FBgn0250732	gfzf
hat[1]	FBal0005377	FBgn0001177	hat
Pde6[PL00055]	FBal0160036	FBgn0038237	Pde6
bel[1]	FBal0001094	FBgn0263231	bel
sc[sisB-1]	FBal0015251	FBgn0004170	sc
l(2)SH0321[SH0321]	FBal0144080	FBgn0065843	l(2)SH0321
dik[3]	unknown ID	-	-
vri[2]	FBal0008341	FBgn0016076	vri
cv-c[7]	FBal0189642	FBgn0086901	cv-c
flc[E1]	FBal0102722	FBgn0029085	flc
2L2269[2L2269]	FBal0218400	FBgn0260071	2L2269
Acph-1[n4]	FBal0000249	FBgn0000032	Acph-1
l(2)41Ae[9]	FBal0008974	FBgn0004660	l(2)41Ae
l(2)SH1470[SH1470]	FBal0143673	FBgn0065436	l(2)SH1470
l(1)1Ac[J56.4]	FBal0031547	FBgn0001334	l(1)1Ac
l(2)G80[1]	FBal0009214	FBgn0005150	l(2)G80
btl[6-81Delta1]	FBal0030663	FBgn0005592	btl
l(2)SH1636[SH1636]	FBal0143623	FBgn0065386	l(2)SH1636
