#SUBMITTED ID	FBID_KEY	CLASSICAL_ALLELES	GENE_MODEL_STATUS	SPECIES	SYMBOL
3R-66-38	FBgn0070037	3R-66-38[3R-66-38]	Unannotated	melanogaster	3R-66-38
3R-69-15	FBgn0070036	3R-69-15[3R-69-15]	Unannotated	melanogaster	3R-69-15
3R-C	FBgn0021751	3R-C[3R-11]	Unannotated	melanogaster	3R-C
3R-I256	FBgn0061472	3R-I256[3R-I256]	Unannotated	melanogaster	3R-I256
4A1	FBgn0264355	4A1[4A1]	Unannotated	melanogaster	4A1
4B7-11	FBgn0069066	4B7-11[4B7-11]	Unannotated	melanogaster	4B7-11
4E-T	FBgn0052016	4E-T[e02096]	Current	melanogaster	4E-T
5-103	FBgn0260782	5-103[5-103]	Unannotated	melanogaster	5-103
May-68 - unknown ID - please use IDConverter
5-HT1A	FBgn0004168	5-HT1A[MI01140] <newline> 5-HT1A[EY09988] <newline> 5-HT1A[Delta5kb] <newline> 5-HT1A[MI04464] <newline> 5-HT1A[MB09812] <newline> 5-HT1A[MB09978] <newline> 5-HT1A[Gal4] <newline> 5-HT1A[MI01140-GFSTF.2]	Current	melanogaster	5-HT1A
5-HT1B	FBgn0263116	5-HT1B[MB05181] <newline> 5-HT1B[MI05213] <newline> 5-HT1B[DeltaIII-V] <newline> 5-HT1B[MI05213-GFSTF.0]	Current	melanogaster	5-HT1B
5-HT2A	FBgn0087012	5-HT2A[M51] <newline> 5-HT2A[PL00052] <newline> 5-HT2A[c04028] <newline> 5-HT2A[c05529] <newline> 5-HT2A[e01363] <newline> 5-HT2A[f07458] <newline> 5-HT2A[C1644] <newline> 5-HT2A[MI03299] <newline> 5-HT2A[Gal4] <newline> 5-HT2A[MI00459] <newline> 5-HT2A[MI00459-GFSTF.2] <newline> 5-HT2A[2048-G4]	Current	melanogaster	5-HT2A
5-HT2B	FBgn0261929	5-HT2B[MI07403] <newline> 5-HT2B[MB11858] <newline> 5-HT2B[Gal4] <newline> 5-HT2B[MI05208] <newline> 5-HT2B[MI06500] <newline> 5-HT2B[MI06500-GFSTF.1]	Current	melanogaster	5-HT2B
5-HT7	FBgn0004573	5-HT7[MB04445] <newline> 5-HT7[f05214] <newline> 5-HT7[MB01344] <newline> 5-HT7[MI08096] <newline> 5-HT7[MI01380] <newline> 5-HT7[Gal4] <newline> 5-HT7[MI00215]	Current	melanogaster	5-HT7
5-SZ-3716	FBgn0260221	5-SZ-3716[5-SZ-3716]	Unannotated	melanogaster	5-SZ-3716
5PtaseI	FBgn0259178	5PtaseI[MB01285]	Current	melanogaster	5PtaseI
5SrRNA	FBgn0000002	5SrRNA[03068] <newline> 5SrRNA[L62] <newline> 5SrRNA[MI01833]	Not Applicable	melanogaster	5SrRNA
70 - unknown ID - please use IDConverter
7B2	FBgn0041707	7B2[MI07220]	Current	melanogaster	7B2
82Y	FBgn0266128	82Y[82Y]	Unannotated	melanogaster	82Y
8D2	FBgn0264356	8D2[8D2]	Unannotated	melanogaster	8D2
9-220	FBgn0260783	9-220[9-220]	Unannotated	melanogaster	9-220
A122	FBgn0025723	A122[A122]	Unannotated	melanogaster	A122
A16	FBgn0028965	A16[EY14223] <newline> A16[e00533]	Current	melanogaster	A16
A43	FBgn0067326	A43[A43]	Unannotated	melanogaster	A43
A44	FBgn0263898	A44[A44]	Unannotated	melanogaster	A44
AANATL2	FBgn0031791	AANATL2[EU173]	Current	melanogaster	AANATL2
ABCB7	FBgn0035244	ABCB7[EY15987] <newline> ABCB7[PL00440] <newline> ABCB7[c07083] <newline> ABCB7[c07131] <newline> ABCB7[MB08445] <newline> ABCB7[EY11060]	Current	melanogaster	ABCB7
ACC	FBgn0033246	ACC[B131] <newline> ACC[MI03343] <newline> ACC[1] <newline> ACC[2] <newline> ACC[k08504]	Current	melanogaster	ACC
ACXA	FBgn0040510	ACXA[MI00200]	Current	melanogaster	ACXA
ACXB	FBgn0040509	ACXB[MB03502] <newline> ACXB[MI10729]	Current	melanogaster	ACXB
ACXC	FBgn0040508	ACXC[MB09973]	Current	melanogaster	ACXC
ADD1	FBgn0026573	ADD1[GS2121] <newline> ADD1[GS12665] <newline> ADD1[MI09552] <newline> ADD1[NP0793] <newline> ADD1[1] <newline> ADD1[2] <newline> ADD1[MB11061] <newline> ADD1[MI09552-GFSTF.1] <newline> ADD1[NP1240]	Current	melanogaster	ADD1
ADPS	FBgn0033983	ADPS[f02060]	Current	melanogaster	ADPS
AGAR-11	FBgn0260998	AGAR-11[1]	Unannotated	melanogaster	AGAR-11
AGAR-21	FBgn0260999	AGAR-21[1]	Unannotated	melanogaster	AGAR-21
AGAR-52	FBgn0261000	AGAR-52[1]	Unannotated	melanogaster	AGAR-52
AGAR-53	FBgn0261001	AGAR-53[1]	Unannotated	melanogaster	AGAR-53
AGBE	FBgn0053138	AGBE[EY08709] <newline> AGBE[GX8331] <newline> AGBE[NP1154]	Current	melanogaster	AGBE
